female,age,income,educ,value_family,social_class,LDP,DPJ,COM,marriage
1,34,0,14,2,4,1,0,0,1
0,31,300,9,5,5,0,0,0,1
0,35,300,12,5,6,1,0,0,0
1,25,200,14,3,7,0,0,0,0
1,26,0,14,1,5,0,0,0,1
1,33,300,16,2,6,0,0,0,0
0,25,400,16,4,7,0,1,0,0
1,34,0,14,3,6,1,0,0,1
0,29,200,14,1,5,0,0,0,0
1,29,400,16,1,6,0,0,0,0
1,33,25,16,1,6,0,0,0,1
1,25,300,16,1,5,0,0,0,0
1,35,200,14,2,5,0,0,0,1
1,32,100,14,1,5,0,0,0,0
1,26,300,14,3,7,0,0,0,0
1,28,0,14,3,5,0,0,0,1
0,28,100,16,1,3,1,0,0,0
0,28,500,16,3,6,1,0,0,1
0,32,25,16,3,6,0,0,0,0
1,32,300,16,3,7,0,0,0,0
0,26,400,16,5,9,0,0,0,1
1,33,50,14,4,7,0,0,0,1
0,33,100,12,4,2,0,0,0,0
1,33,300,16,1,5,0,0,0,0
0,27,300,12,2,8,0,0,0,0
0,31,300,16,4,4,0,0,0,0
1,28,200,16,2,4,0,0,0,0
0,33,400,16,5,6,0,0,0,1
1,33,400,16,2,6,0,0,0,1
0,24,200,16,1,2,0,0,0,0
1,25,100,14,2,6,0,0,0,0
1,22,100,12,2,5,0,0,0,1
0,34,300,12,3,4,0,0,0,0
1,33,0,12,1,2,0,0,0,1
1,32,50,12,4,6,0,0,0,1
0,26,300,12,4,4,0,0,0,0
1,32,100,14,3,6,0,0,0,1
0,33,700,16,3,7,0,0,0,1
0,33,400,12,3,7,1,0,0,1
1,35,300,14,3,6,0,0,0,1
1,33,500,12,4,6,1,0,0,0
1,34,300,16,2,3,0,0,1,0
1,35,200,14,1,5,0,0,0,1
0,34,400,12,4,7,0,1,0,0
0,34,200,12,3,3,0,1,0,0
1,30,0,14,3,7,0,1,0,1
0,28,500,16,2,5,0,0,0,1
0,32,0,14,3,1,0,0,0,0
0,34,1000,12,4,7,0,0,0,1
0,34,500,12,5,8,0,0,0,1
1,27,200,14,2,3,1,0,0,0
1,32,200,14,1,1,0,0,0,1
0,31,400,16,3,6,1,0,0,1
1,31,0,14,1,6,0,0,0,1
1,32,400,16,1,6,0,0,0,1
1,35,25,14,2,5,1,0,0,1
1,30,300,14,3,7,0,0,0,0
0,35,25,9,4,3,0,1,0,0
1,30,100,16,4,5,0,0,0,0
1,29,0,12,4,3,0,0,0,1
0,34,300,14,4,6,0,0,0,0
1,28,200,12,4,3,0,0,0,0
0,33,700,18,2,6,0,0,0,0
1,24,300,12,1,9,1,0,0,0
1,25,300,16,2,3,0,0,0,0
1,34,300,16,3,3,0,0,0,0
1,31,200,14,2,3,0,0,0,0
0,26,400,9,5,4,1,0,0,0
1,26,300,18,2,6,0,0,0,0
1,29,300,14,1,6,1,0,0,0
1,29,100,14,1,4,1,0,0,0
1,32,100,12,1,5,1,0,0,1
0,35,700,16,3,7,1,0,0,0
1,31,25,14,1,4,1,0,0,1
0,29,400,12,4,6,1,0,0,0
1,21,200,12,3,5,0,0,1,0
1,24,200,14,4,1,0,0,0,0
1,34,0,14,3,6,0,0,0,1
0,34,500,12,3,2,0,0,0,1
1,25,200,14,2,4,0,0,0,1
0,30,300,16,1,8,0,1,0,0
0,30,300,12,2,4,0,0,0,0
1,29,400,14,4,8,0,0,0,1
0,30,500,16,3,8,1,0,0,1
0,32,500,18,3,6,0,0,0,0
1,28,200,12,3,5,1,0,0,0
1,23,200,14,3,5,0,0,0,0
0,32,200,9,4,1,0,0,0,1
1,33,0,16,2,6,1,0,0,1
0,29,400,12,1,3,0,0,0,0
0,26,0,9,3,1,0,0,0,0
1,28,300,14,5,6,1,0,0,0
1,30,100,12,2,4,1,0,0,1
1,30,100,14,1,5,0,0,0,1
1,31,200,14,2,5,0,0,0,0
0,31,500,14,5,6,1,0,0,1
0,33,400,12,3,3,1,0,0,1
1,30,0,14,5,5,0,0,0,1
0,22,300,9,4,3,0,0,0,0
1,34,0,16,4,4,1,0,0,1
0,28,300,16,3,7,1,0,0,1
0,28,1000,12,5,6,0,0,0,1
1,26,300,16,3,3,0,0,0,0
0,31,100,16,1,4,0,0,1,0
0,25,300,16,1,3,0,0,0,0
0,33,400,14,4,9,0,0,0,1
1,29,300,16,3,4,0,0,0,0
1,28,400,16,3,6,0,0,0,0
0,27,300,12,4,6,0,0,0,0
1,30,100,16,2,6,0,0,0,0
0,28,300,12,3,4,0,0,0,1
1,24,200,14,1,4,0,0,0,0
0,24,100,16,2,7,0,0,0,0
0,26,500,16,2,8,1,0,0,0
0,25,100,16,4,6,1,0,0,0
1,27,400,14,3,6,0,0,0,1
